ProductID,ProductName,CategoryID,SupplierID,StandardMarkup,DefaultSellingPrice,Description,UnitOfMeasurement
PROD251,Allen Solly Polo Tee,CAT005,SUP020,1.43,1200,Retail item under Men's Apparel.,Unit
PROD252,Prestige Chopper,CAT008,SUP003,1.49,450,Retail item under Kitchen Gadgets.,Unit
PROD253,Global Desi Palazzo Set,CAT006,SUP005,1.79,1100,Retail item under Women's Apparel.,Unit
PROD254,Borosil Casserole Dish,CAT007,SUP002,1.66,600,Retail item under Cookware & Pots.,Unit
PROD255,Bosch Dishwasher 12 Place,CAT003,SUP024,1.17,42000,Retail item under Large Appliances.,Unit
PROD256,Global Desi Palazzo Set,CAT006,SUP029,1.27,1100,Retail item under Women's Apparel.,Unit
PROD257,W Linen Dress,CAT006,SUP034,1.29,2200,Retail item under Women's Apparel.,Unit
PROD258,Global Desi Palazzo Set,CAT006,SUP002,1.4,1100,Retail item under Women's Apparel.,Unit
PROD259,Bosch Dishwasher 12 Place,CAT003,SUP017,1.42,42000,Retail item under Large Appliances.,Unit
PROD260,Van Heusen Blazer,CAT005,SUP013,1.59,4500,Retail item under Men's Apparel.,Unit
PROD261,Maggi Masala Noodles 2-min (Pack of 1),CAT002,SUP006,1.19,14,Retail item under Packaged Foods.,Unit
PROD262,W Linen Dress,CAT006,SUP020,1.55,2200,Retail item under Women's Apparel.,Unit
PROD263,Samsung Front Load Washer 7kg,CAT003,SUP013,1.3,32000,Retail item under Large Appliances.,Unit
PROD264,Samsung Front Load Washer 7kg,CAT003,SUP037,1.16,32000,Retail item under Large Appliances.,Unit
PROD265,Global Desi Palazzo Set,CAT006,SUP006,1.55,1100,Retail item under Women's Apparel.,Unit
PROD266,Parle-G Biscuits 400g (Pack of 2),CAT002,SUP027,1.17,95.0,Retail item under Packaged Foods.,Unit
PROD267,Prestige Pressure Cooker 5L,CAT007,SUP029,1.42,2100,Retail item under Cookware & Pots.,Unit
PROD268,Cello Water Bottle 1L,CAT008,SUP038,1.71,150,Retail item under Kitchen Gadgets.,Unit
PROD269,Samsung Front Load Washer 7kg,CAT003,SUP008,1.42,32000,Retail item under Large Appliances.,Unit
PROD270,Whirlpool Microwave 20L,CAT003,SUP015,1.25,6500,Retail item under Large Appliances.,Unit
PROD271,W Linen Dress,CAT006,SUP036,1.39,2200,Retail item under Women's Apparel.,Unit
PROD272,Louis Philippe Chinos,CAT005,SUP033,1.59,1800,Retail item under Men's Apparel.,Unit
PROD273,Samsung Front Load Washer 7kg,CAT003,SUP022,1.34,32000,Retail item under Large Appliances.,Unit
PROD274,Tata Salt 1kg (Pack of 1),CAT001,SUP017,1.16,28,Retail item under Fresh Groceries.,Unit
PROD275,Prestige Sandwich Maker,CAT004,SUP035,1.16,1250,Retail item under Small Electronics.,Unit
PROD276,Allen Solly Polo Tee,CAT005,SUP020,1.69,1200,Retail item under Men's Apparel.,Unit
PROD277,Inalsa Food Processor,CAT008,SUP031,1.34,4500,Retail item under Kitchen Gadgets.,Unit
PROD278,Meyer Glass Storage Set,CAT008,SUP023,1.33,1200,Retail item under Kitchen Gadgets.,Unit
PROD279,Hawkins Stainless Steel Pan 3L,CAT007,SUP021,1.53,1400,Retail item under Cookware & Pots.,Unit
PROD280,Prestige Sandwich Maker,CAT004,SUP007,1.28,1250,Retail item under Small Electronics.,Unit
PROD281,Fresh Paneer 200g (Pack of 2),CAT001,SUP021,1.14,161.5,Retail item under Fresh Groceries.,Unit
PROD282,Fabindia Cotton Saree,CAT006,SUP030,1.52,2800,Retail item under Women's Apparel.,Unit
PROD283,Cello Water Bottle 1L,CAT008,SUP033,1.3,150,Retail item under Kitchen Gadgets.,Unit
PROD284,Meyer Glass Storage Set,CAT008,SUP019,1.44,1200,Retail item under Kitchen Gadgets.,Unit
PROD285,Prestige Chopper,CAT008,SUP028,1.25,450,Retail item under Kitchen Gadgets.,Unit
PROD286,Whirlpool Microwave 20L,CAT003,SUP003,1.38,6500,Retail item under Large Appliances.,Unit
PROD287,Prestige Pressure Cooker 5L,CAT007,SUP019,1.36,2100,Retail item under Cookware & Pots.,Unit
PROD288,Amul Butter 500g (Pack of 3),CAT002,SUP040,1.15,741.0,Retail item under Packaged Foods.,Unit
PROD289,Maggi Masala Noodles 2-min (Pack of 1),CAT002,SUP036,1.18,14,Retail item under Packaged Foods.,Unit
PROD290,Fabindia Cotton Saree,CAT006,SUP003,1.53,2800,Retail item under Women's Apparel.,Unit
PROD291,Tata Salt 1kg (Pack of 1),CAT001,SUP030,1.18,28,Retail item under Fresh Groceries.,Unit
PROD292,Samsung Front Load Washer 7kg,CAT003,SUP026,1.33,32000,Retail item under Large Appliances.,Unit
PROD293,Allen Solly Polo Tee,CAT005,SUP037,1.53,1200,Retail item under Men's Apparel.,Unit
PROD294,Van Heusen Blazer,CAT005,SUP027,1.45,4500,Retail item under Men's Apparel.,Unit
PROD295,Peter England Formal Shirt,CAT005,SUP038,1.4,1300,Retail item under Men's Apparel.,Unit
PROD296,Philips Air Fryer 2.2L,CAT004,SUP040,1.2,7500,Retail item under Small Electronics.,Unit
PROD297,Hawkins Stainless Steel Pan 3L,CAT007,SUP008,1.38,1400,Retail item under Cookware & Pots.,Unit
PROD298,Philips Air Fryer 2.2L,CAT004,SUP014,1.28,7500,Retail item under Small Electronics.,Unit
PROD299,Wonderchef Tawa 28cm,CAT007,SUP009,1.65,950,Retail item under Cookware & Pots.,Unit
PROD300,Panasonic Electric Kettle 1.5L,CAT004,SUP021,1.29,1250,Retail item under Small Electronics.,Unit
PROD301,Bosch Dishwasher 12 Place,CAT003,SUP017,1.25,42000,Retail item under Large Appliances.,Unit
PROD302,Meyer Glass Storage Set,CAT008,SUP015,1.4,1200,Retail item under Kitchen Gadgets.,Unit
PROD303,Allen Solly Polo Tee,CAT005,SUP021,1.63,1200,Retail item under Men's Apparel.,Unit
PROD304,Cello Water Bottle 1L,CAT008,SUP019,1.76,150,Retail item under Kitchen Gadgets.,Unit
PROD305,Kissan Tomato Ketchup 1kg (Pack of 3),CAT002,SUP023,1.19,399.0,Retail item under Packaged Foods.,Unit
PROD306,Whirlpool Microwave 20L,CAT003,SUP023,1.44,6500,Retail item under Large Appliances.,Unit
PROD307,Cello Water Bottle 1L,CAT008,SUP018,1.37,150,Retail item under Kitchen Gadgets.,Unit
PROD308,Louis Philippe Chinos,CAT005,SUP016,1.66,1800,Retail item under Men's Apparel.,Unit
PROD309,Tomato 1kg (Pack of 1),CAT001,SUP022,1.11,60,Retail item under Fresh Groceries.,Unit
PROD310,Inalsa Food Processor,CAT008,SUP011,1.33,4500,Retail item under Kitchen Gadgets.,Unit
PROD311,Wonderchef Tawa 28cm,CAT007,SUP021,1.36,950,Retail item under Cookware & Pots.,Unit
PROD312,Peter England Formal Shirt,CAT005,SUP015,1.3,1300,Retail item under Men's Apparel.,Unit
PROD313,Amul Milk 1L (Pack of 2),CAT001,SUP026,1.12,123.5,Retail item under Fresh Groceries.,Unit
PROD314,Meyer Glass Storage Set,CAT008,SUP003,1.78,1200,Retail item under Kitchen Gadgets.,Unit
PROD315,Fresh Paneer 200g (Pack of 3),CAT001,SUP019,1.19,242.25,Retail item under Fresh Groceries.,Unit
PROD316,Prestige Chopper,CAT008,SUP030,1.32,450,Retail item under Kitchen Gadgets.,Unit
PROD317,Louis Philippe Chinos,CAT005,SUP017,1.43,1800,Retail item under Men's Apparel.,Unit
PROD318,LG Frost Free Refrigerator 260L,CAT003,SUP013,1.39,26000,Retail item under Large Appliances.,Unit
PROD319,Bosch Dishwasher 12 Place,CAT003,SUP026,1.3,42000,Retail item under Large Appliances.,Unit
PROD320,Maggi Masala Noodles 2-min (Pack of 1),CAT002,SUP017,1.19,14,Retail item under Packaged Foods.,Unit
PROD321,Hawkins Stainless Steel Pan 3L,CAT007,SUP020,1.4,1400,Retail item under Cookware & Pots.,Unit
PROD322,Fresh Paneer 200g (Pack of 3),CAT001,SUP030,1.12,242.25,Retail item under Fresh Groceries.,Unit
PROD323,Louis Philippe Chinos,CAT005,SUP008,1.53,1800,Retail item under Men's Apparel.,Unit
PROD324,Allen Solly Polo Tee,CAT005,SUP031,1.37,1200,Retail item under Men's Apparel.,Unit
PROD325,Bosch Dishwasher 12 Place,CAT003,SUP036,1.33,42000,Retail item under Large Appliances.,Unit
PROD326,Meyer Glass Storage Set,CAT008,SUP006,1.62,1200,Retail item under Kitchen Gadgets.,Unit
PROD327,Cello Water Bottle 1L,CAT008,SUP036,1.56,150,Retail item under Kitchen Gadgets.,Unit
PROD328,Bajaj Mixer Grinder 500W,CAT004,SUP008,1.41,3200,Retail item under Small Electronics.,Unit
PROD329,Prestige Sandwich Maker,CAT004,SUP030,1.3,1250,Retail item under Small Electronics.,Unit
PROD330,Bosch Dishwasher 12 Place,CAT003,SUP020,1.17,42000,Retail item under Large Appliances.,Unit
PROD331,Organic Bananas 1kg (Pack of 2),CAT001,SUP005,1.17,152.0,Retail item under Fresh Groceries.,Unit
PROD332,Organic Bananas 1kg (Pack of 2),CAT001,SUP005,1.15,152.0,Retail item under Fresh Groceries.,Unit
PROD333,Inalsa Food Processor,CAT008,SUP027,1.35,4500,Retail item under Kitchen Gadgets.,Unit
PROD334,Global Desi Palazzo Set,CAT006,SUP025,1.75,1100,Retail item under Women's Apparel.,Unit
PROD335,Kissan Tomato Ketchup 1kg (Pack of 1),CAT002,SUP035,1.13,140,Retail item under Packaged Foods.,Unit
PROD336,Hawkins Stainless Steel Pan 3L,CAT007,SUP002,1.37,1400,Retail item under Cookware & Pots.,Unit
PROD337,Van Heusen Blazer,CAT005,SUP025,1.55,4500,Retail item under Men's Apparel.,Unit
PROD338,Bajaj Mixer Grinder 500W,CAT004,SUP008,1.2,3200,Retail item under Small Electronics.,Unit
PROD339,Organic Bananas 1kg (Pack of 3),CAT001,SUP016,1.19,228.0,Retail item under Fresh Groceries.,Unit
PROD340,Philips Air Fryer 2.2L,CAT004,SUP004,1.16,7500,Retail item under Small Electronics.,Unit
PROD341,Philips Air Fryer 2.2L,CAT004,SUP004,1.22,7500,Retail item under Small Electronics.,Unit
PROD342,Whirlpool Microwave 20L,CAT003,SUP021,1.42,6500,Retail item under Large Appliances.,Unit
PROD343,Fabindia Cotton Saree,CAT006,SUP034,1.33,2800,Retail item under Women's Apparel.,Unit
PROD344,Prestige Sandwich Maker,CAT004,SUP012,1.17,1250,Retail item under Small Electronics.,Unit
PROD345,Wonderchef Tawa 28cm,CAT007,SUP025,1.44,950,Retail item under Cookware & Pots.,Unit
PROD346,Global Desi Palazzo Set,CAT006,SUP035,1.41,1100,Retail item under Women's Apparel.,Unit
PROD347,Meyer Glass Storage Set,CAT008,SUP030,1.42,1200,Retail item under Kitchen Gadgets.,Unit
PROD348,Tomato 1kg (Pack of 2),CAT001,SUP025,1.16,114.0,Retail item under Fresh Groceries.,Unit
PROD349,Panasonic Electric Kettle 1.5L,CAT004,SUP024,1.34,1250,Retail item under Small Electronics.,Unit
PROD350,Kissan Tomato Ketchup 1kg (Pack of 3),CAT002,SUP039,1.11,399.0,Retail item under Packaged Foods.,Unit
PROD351,Tata Salt 1kg (Pack of 1),CAT001,SUP014,1.16,28,Retail item under Fresh Groceries.,Unit
PROD352,Meyer Glass Storage Set,CAT008,SUP014,1.43,1200,Retail item under Kitchen Gadgets.,Unit
PROD353,Philips Air Fryer 2.2L,CAT004,SUP039,1.38,7500,Retail item under Small Electronics.,Unit
PROD354,Prestige Sandwich Maker,CAT004,SUP025,1.32,1250,Retail item under Small Electronics.,Unit
PROD355,Cello Water Bottle 1L,CAT008,SUP030,1.45,150,Retail item under Kitchen Gadgets.,Unit
PROD356,Amul Butter 500g (Pack of 2),CAT002,SUP003,1.14,494.0,Retail item under Packaged Foods.,Unit
PROD357,Bajaj Mixer Grinder 500W,CAT004,SUP038,1.32,3200,Retail item under Small Electronics.,Unit
PROD358,Borosil Casserole Dish,CAT007,SUP037,1.43,600,Retail item under Cookware & Pots.,Unit
PROD359,Prestige Sandwich Maker,CAT004,SUP017,1.43,1250,Retail item under Small Electronics.,Unit
PROD360,Prestige Chopper,CAT008,SUP011,1.65,450,Retail item under Kitchen Gadgets.,Unit
PROD361,Bosch Dishwasher 12 Place,CAT003,SUP004,1.42,42000,Retail item under Large Appliances.,Unit
PROD362,Tata Salt 1kg (Pack of 3),CAT001,SUP015,1.1,79.8,Retail item under Fresh Groceries.,Unit
PROD363,Maggi Masala Noodles 2-min (Pack of 1),CAT002,SUP040,1.15,14,Retail item under Packaged Foods.,Unit
PROD364,Prestige Chopper,CAT008,SUP001,1.54,450,Retail item under Kitchen Gadgets.,Unit
PROD365,Tomato 1kg (Pack of 3),CAT001,SUP033,1.2,171.0,Retail item under Fresh Groceries.,Unit
PROD366,Hawkins Stainless Steel Pan 3L,CAT007,SUP016,1.3,1400,Retail item under Cookware & Pots.,Unit
PROD367,Panasonic Electric Kettle 1.5L,CAT004,SUP006,1.23,1250,Retail item under Small Electronics.,Unit
PROD368,Global Desi Palazzo Set,CAT006,SUP020,1.38,1100,Retail item under Women's Apparel.,Unit
PROD369,Aashirvaad Atta 5kg (Pack of 1),CAT002,SUP004,1.14,220,Retail item under Packaged Foods.,Unit
PROD370,Amul Milk 1L (Pack of 1),CAT001,SUP037,1.14,65,Retail item under Fresh Groceries.,Unit
PROD371,Kissan Tomato Ketchup 1kg (Pack of 1),CAT002,SUP031,1.19,140,Retail item under Packaged Foods.,Unit
PROD372,Peter England Formal Shirt,CAT005,SUP035,1.63,1300,Retail item under Men's Apparel.,Unit
PROD373,Amul Milk 1L (Pack of 2),CAT001,SUP026,1.12,123.5,Retail item under Fresh Groceries.,Unit
PROD374,Parle-G Biscuits 400g (Pack of 1),CAT002,SUP035,1.16,50,Retail item under Packaged Foods.,Unit
PROD375,Global Desi Palazzo Set,CAT006,SUP033,1.33,1100,Retail item under Women's Apparel.,Unit
PROD376,Biba Embroidered Kurti,CAT006,SUP022,1.38,1500,Retail item under Women's Apparel.,Unit
PROD377,Borosil Casserole Dish,CAT007,SUP032,1.4,600,Retail item under Cookware & Pots.,Unit
PROD378,Panasonic Electric Kettle 1.5L,CAT004,SUP038,1.26,1250,Retail item under Small Electronics.,Unit
PROD379,Prestige Pressure Cooker 5L,CAT007,SUP005,1.41,2100,Retail item under Cookware & Pots.,Unit
PROD380,Parle-G Biscuits 400g (Pack of 1),CAT002,SUP025,1.18,50,Retail item under Packaged Foods.,Unit
PROD381,W Linen Dress,CAT006,SUP029,1.25,2200,Retail item under Women's Apparel.,Unit
PROD382,W Linen Dress,CAT006,SUP029,1.3,2200,Retail item under Women's Apparel.,Unit
PROD383,Prestige Pressure Cooker 5L,CAT007,SUP039,1.44,2100,Retail item under Cookware & Pots.,Unit
PROD384,Global Desi Palazzo Set,CAT006,SUP036,1.48,1100,Retail item under Women's Apparel.,Unit
PROD385,Bajaj Mixer Grinder 500W,CAT004,SUP020,1.2,3200,Retail item under Small Electronics.,Unit
PROD386,Van Heusen Blazer,CAT005,SUP027,1.34,4500,Retail item under Men's Apparel.,Unit
PROD387,Van Heusen Blazer,CAT005,SUP032,1.45,4500,Retail item under Men's Apparel.,Unit
PROD388,Prestige Sandwich Maker,CAT004,SUP022,1.24,1250,Retail item under Small Electronics.,Unit
PROD389,Borosil Casserole Dish,CAT007,SUP039,1.49,600,Retail item under Cookware & Pots.,Unit
PROD390,Whirlpool Microwave 20L,CAT003,SUP031,1.43,6500,Retail item under Large Appliances.,Unit
PROD391,Fabindia Cotton Saree,CAT006,SUP032,1.78,2800,Retail item under Women's Apparel.,Unit
PROD392,Panasonic Electric Kettle 1.5L,CAT004,SUP024,1.39,1250,Retail item under Small Electronics.,Unit
PROD393,Kissan Tomato Ketchup 1kg (Pack of 1),CAT002,SUP002,1.15,140,Retail item under Packaged Foods.,Unit
PROD394,Meyer Glass Storage Set,CAT008,SUP027,1.41,1200,Retail item under Kitchen Gadgets.,Unit
PROD395,Meyer Glass Storage Set,CAT008,SUP010,1.38,1200,Retail item under Kitchen Gadgets.,Unit
PROD396,Wonderchef Tawa 28cm,CAT007,SUP038,1.79,950,Retail item under Cookware & Pots.,Unit
PROD397,Wonderchef Tawa 28cm,CAT007,SUP035,1.68,950,Retail item under Cookware & Pots.,Unit
PROD398,Aashirvaad Atta 5kg (Pack of 1),CAT002,SUP003,1.14,220,Retail item under Packaged Foods.,Unit
PROD399,Borosil Casserole Dish,CAT007,SUP007,1.49,600,Retail item under Cookware & Pots.,Unit
PROD400,Louis Philippe Chinos,CAT005,SUP037,1.54,1800,Retail item under Men's Apparel.,Unit
